algorithm,size,instance_idx,seed,tour_length,execution_time,status,instance_type
Brute Force,5,0,42,197.76047663253783,0.00013971328735351562,success,euclidean
Held-Karp DP,5,0,42,197.76047663253783,0.00022125244140625,success,euclidean
Branch & Bound,5,0,42,197.76047663253783,0.00028896331787109375,success,euclidean
MST 2-Approximation,5,0,42,236.12886729982554,6.437301635742188e-05,success,euclidean
Nearest Neighbor,5,0,42,236.12886729982554,3.504753112792969e-05,success,euclidean
Multi-start NN,5,0,42,197.76047663253786,6.079673767089844e-05,success,euclidean
NN + 2-opt,5,0,42,197.76047663253783,0.00012755393981933594,success,euclidean
Multi-start NN + 2-opt,5,0,42,197.76047663253783,0.00013589859008789062,success,euclidean
Brute Force,5,1,43,171.1492154391209,7.772445678710938e-05,success,euclidean
Held-Karp DP,5,1,43,171.1492154391209,0.00021910667419433594,success,euclidean
Branch & Bound,5,1,43,171.1492154391209,0.0002281665802001953,success,euclidean
MST 2-Approximation,5,1,43,183.09881092872766,0.0001361370086669922,success,euclidean
Nearest Neighbor,5,1,43,183.09881092872766,2.3603439331054688e-05,success,euclidean
Multi-start NN,5,1,43,171.1492154391209,6.437301635742188e-05,success,euclidean
NN + 2-opt,5,1,43,171.1492154391209,4.649162292480469e-05,success,euclidean
Multi-start NN + 2-opt,5,1,43,171.14921543912087,0.0001590251922607422,success,euclidean
Brute Force,5,2,44,210.63914851421558,7.05718994140625e-05,success,euclidean
Held-Karp DP,5,2,44,210.63914851421558,0.0001266002655029297,success,euclidean
Branch & Bound,5,2,44,210.63914851421558,0.0001690387725830078,success,euclidean
MST 2-Approximation,5,2,44,219.96311132216903,5.054473876953125e-05,success,euclidean
Nearest Neighbor,5,2,44,219.96311132216903,0.00011706352233886719,success,euclidean
Multi-start NN,5,2,44,210.63914851421558,7.987022399902344e-05,success,euclidean
NN + 2-opt,5,2,44,210.6391485142156,5.5789947509765625e-05,success,euclidean
Multi-start NN + 2-opt,5,2,44,210.63914851421558,0.00016832351684570312,success,euclidean
Brute Force,6,0,42,216.37962719062116,0.00033593177795410156,success,euclidean
Held-Karp DP,6,0,42,216.37962719062116,0.0002872943878173828,success,euclidean
Branch & Bound,6,0,42,216.37962719062116,0.0005040168762207031,success,euclidean
MST 2-Approximation,6,0,42,216.37962719062116,5.1021575927734375e-05,success,euclidean
Nearest Neighbor,6,0,42,216.37962719062116,3.0279159545898438e-05,success,euclidean
Multi-start NN,6,0,42,216.37962719062114,7.390975952148438e-05,success,euclidean
NN + 2-opt,6,0,42,216.37962719062116,0.00013709068298339844,success,euclidean
Multi-start NN + 2-opt,6,0,42,216.37962719062114,0.0002224445343017578,success,euclidean
Brute Force,6,1,43,174.46505804088264,0.0003426074981689453,success,euclidean
Held-Karp DP,6,1,43,174.46505804088264,0.0002911090850830078,success,euclidean
Branch & Bound,6,1,43,174.46505804088264,0.0006437301635742188,success,euclidean
MST 2-Approximation,6,1,43,213.2385932927594,0.00014281272888183594,success,euclidean
Nearest Neighbor,6,1,43,213.2385932927594,2.4318695068359375e-05,success,euclidean
Multi-start NN,6,1,43,174.4650580408826,8.678436279296875e-05,success,euclidean
NN + 2-opt,6,1,43,174.46505804088264,7.343292236328125e-05,success,euclidean
Multi-start NN + 2-opt,6,1,43,174.4650580408826,0.0002646446228027344,success,euclidean
Brute Force,6,2,44,265.6782514680872,0.0003352165222167969,success,euclidean
Held-Karp DP,6,2,44,265.6782514680872,0.00028395652770996094,success,euclidean
